EmployeeID,HireDate,FacilityID,OrganizationLevel,CurrentFlag,SalesPersonFlag,JobTitle,BirthDate,MaritalStatus,Gender,NameFull,FacilityName,Region,Years,GrossPay,BaseSalary,SeniorityBonus,Overtime,Other,Total Other Pay
1,2003-10-13,3,0,1,0,Chief Executive Officer,28706,S,F, Ashley Berry,Port Perry,East,2012,113334.44,110938.46,0.00,0.00,2395.98,2395.98
1,2003-10-13,3,0,1,0,Chief Executive Officer,28706,S,F, Ashley Berry,Port Perry,East,2013,117453.16,112072.46,0.00,0.00,1071.00,1071.00
1,2003-10-13,3,0,1,0,Chief Executive Officer,28706,S,F, Ashley Berry,Port Perry,East,2014,116954.68,114713.94,0.00,0.00,0.00,0.00
1,2003-10-13,3,0,1,0,Chief Executive Officer,28706,S,F, Ashley Berry,Port Perry,East,2015,134621.21,122422.93,0.00,0.00,1020.00,1020.00
1,2003-10-13,3,0,1,0,Chief Executive Officer,28706,S,F, Ashley Berry,Port Perry,East,2016,132816.20,124083.78,0.00,0.00,1530.00,1530.00
1,2003-10-13,3,0,1,0,Chief Executive Officer,28706,S,F, Ashley Berry,Port Perry,East,2017,136914.55,128320.34,0.00,0.00,1530.00,1530.00
2,1997-12-30,1,1,1,0,Vice President of Engineering,23001,S,F, Jasmine Lopez,Gravenhurst,East,2012,27651.13,27012.52,0.00,0.00,638.61,638.61
2,1997-12-30,1,1,1,0,Vice President of Engineering,23001,S,F, Jasmine Lopez,Gravenhurst,East,2013,57622.49,43992.52,0.00,9777.23,1275.00,11052.23
2,1997-12-30,1,1,1,0,Vice President of Engineering,23001,S,F, Jasmine Lopez,Gravenhurst,East,2014,67596.47,48361.93,0.00,13525.80,2550.00,16075.80
2,1997-12-30,1,1,1,0,Vice President of Engineering,23001,S,F, Jasmine Lopez,Gravenhurst,East,2015,79683.50,52082.72,0.00,21430.23,2671.95,24102.18
2,1997-12-30,1,1,1,0,Vice President of Engineering,23001,S,F, Jasmine Lopez,Gravenhurst,East,2016,100366.19,57630.59,0.00,37162.19,1716.38,38878.58
2,1997-12-30,1,1,1,0,Vice President of Engineering,23001,S,F, Jasmine Lopez,Gravenhurst,East,2017,111584.47,63503.36,0.00,46209.02,1872.09,48081.11
3,2001-04-12,6,2,1,0,Engineering Manager,17821,M,F, Megan Francis,Burlington,West,2014,2242.66,2242.66,0.00,0.00,0.00,0.00
3,2001-04-12,6,2,1,0,Engineering Manager,17821,M,F, Megan Francis,Burlington,West,2015,2758.38,2758.38,0.00,0.00,0.00,0.00
3,2001-04-12,6,2,1,0,Engineering Manager,17821,M,F, Megan Francis,Burlington,West,2016,3559.04,3559.04,0.00,0.00,0.00,0.00
3,2001-04-12,6,2,1,0,Engineering Manager,17821,M,F, Megan Francis,Burlington,West,2017,2574.99,2574.99,0.00,0.00,0.00,0.00
4,1998-08-03,4,3,1,0,Senior Tool Designer,21679,S,F, Suzanne Carpenter,Pickering,East,2012,90476.57,81795.04,3696.82,4424.73,559.98,8681.53
4,1998-08-03,4,3,1,0,Senior Tool Designer,21679,S,F, Suzanne Carpenter,Pickering,East,2013,95179.78,82205.71,3709.89,7989.17,1275.00,12974.06
4,1998-08-03,4,3,1,0,Senior Tool Designer,21679,S,F, Suzanne Carpenter,Pickering,East,2014,94893.36,83902.08,4131.13,5330.15,1530.00,10991.29
4,1998-08-03,4,3,1,0,Senior Tool Designer,21679,S,F, Suzanne Carpenter,Pickering,East,2015,97465.29,85328.58,4628.21,5978.51,1530.00,12136.71
4,1998-08-03,4,3,1,0,Senior Tool Designer,21679,S,F, Suzanne Carpenter,Pickering,East,2016,98024.71,87033.50,5155.86,4305.36,1530.00,10991.21
4,1998-08-03,4,3,1,0,Senior Tool Designer,21679,S,F, Suzanne Carpenter,Pickering,East,2017,101089.86,88991.41,5699.95,4868.50,1530.00,12098.45
5,1997-11-19,7,3,1,0,Design Engineer,27965,M,F, Margie Perkins,Brantford,West,2012,149660.07,92948.37,4275.76,43966.31,4287.22,52529.30
5,1997-11-19,7,3,1,0,Design Engineer,27965,M,F, Margie Perkins,Brantford,West,2013,152401.63,100198.45,4955.98,41194.07,6053.13,52203.17
5,1997-11-19,7,3,1,0,Design Engineer,27965,M,F, Margie Perkins,Brantford,West,2014,181474.78,103681.57,5512.08,67181.13,5100.00,77793.21
5,1997-11-19,7,3,1,0,Design Engineer,27965,M,F, Margie Perkins,Brantford,West,2015,186185.37,105522.87,6109.79,68413.10,6139.61,80662.51
5,1997-11-19,7,3,1,0,Design Engineer,27965,M,F, Margie Perkins,Brantford,West,2016,183097.61,107067.92,6733.95,61720.30,5100.00,73554.25
5,1997-11-19,7,3,1,0,Design Engineer,27965,M,F, Margie Perkins,Brantford,West,2017,167898.08,110783.23,7868.52,40649.73,3338.98,51857.24
6,2002-03-25,9,3,1,0,Design Engineer,16805,M,F, Erika George,Sudbury,West,2017,6502.50,6502.50,0.00,0.00,0.00,0.00
